trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
7813,2019,KR,KR,FURNI,FURNI,5133.84,154469695.082,12.0,12.0,154469695.082,491023.463,153978671.619,30088.529265
7790,2019,KR,KR,FURNI,EDUCA,3152.39,150853393.477,12.0,12.0,150853393.477,536843.187,150316550.29,47853.65817
1111,2019,KR,KR,BASIC,TRANS,4302.02,150458718.919,12.0,12.0,150458718.919,470238.543,149988480.376,34973.970116
16672,2019,KR,KR,RETA1,FOOD5,4021.12,149843962.525,12.0,12.0,149843962.525,708879.026,149135083.498,37264.235468
1872,2019,KR,KR,BUSIN,FINAN,4124.06,146311325.034,12.0,12.0,146311325.034,748532.564,145562792.47,35477.496698
20088,2019,KR,KR,WHOLE,PLAST,4111.7,145150066.527,12.0,12.0,145150066.527,831358.892,144318707.635,35301.716207
3265,2019,KR,KR,COMPU,COMPU,4143.47,144608690.046,12.0,12.0,144608690.046,608080.741,144000609.305,34900.383023
18262,2019,KR,KR,SUPPO,SEACO,3705.74,139904883.122,12.0,12.0,139904883.122,542378.83,139362504.292,37753.561535
6070,2019,KR,KR,ELECT,CONST,3668.4,139767995.333,12.0,12.0,139767995.333,499928.187,139268067.145,38100.533021
15956,2019,KR,KR,REALE,RETA1,3309.97,137005716.583,12.0,12.0,137005716.583,653636.047,136352080.536,41391.830314
1043,2019,KR,KR,BASIC,MACHI,6574.49,135540932.542,12.0,12.0,135540932.542,1444704.613,134096227.929,20616.189627
1952,2019,KR,KR,BUSIN,PUBLI,3861.97,134165828.763,12.0,12.0,134165828.763,549714.213,133616114.551,34740.256595
1963,2019,KR,KR,BUSIN,RETA1,4538.13,131501499.62,12.0,12.0,131501499.62,466139.767,131035359.853,28977.023492
20033,2019,KR,KR,WHOLE,HOTEL,3480.6,128524798.647,12.0,12.0,128524798.647,612332.878,127912465.769,36926.046845
6241,2019,KR,KR,FABRI,BASIC,4745.51,126115267.306,12.0,12.0,126115267.306,1090452.349,125024814.957,26575.703624
7841,2019,KR,KR,FURNI,MOTO1,4036.26,121462829.926,12.0,12.0,121462829.926,533528.38,120929301.546,30092.915205
9761,2019,KR,KR,LANDT,WHOLE,3398.91,121237214.69,12.0,12.0,121237214.69,701928.304,120535286.386,35669.439523
6091,2019,KR,KR,ELECT,ELECT,3831.89,120920636.212,12.0,12.0,120920636.212,722496.3,120198139.912,31556.395463
6300,2019,KR,KR,FABRI,FURNI,3183.53,119739371.184,12.0,12.0,119739371.184,375025.606,119364345.578,37612.13847
2640,2019,KR,KR,CHEM1,RUBBE,2990.24,119572815.27,12.0,12.0,119572815.27,490221.131,119082594.139,39987.698402
6398,2019,KR,KR,FABRI,TRANS,3550.04,119398733.809,12.0,12.0,119398733.809,402422.354,118996311.455,33633.067179
765,2019,KR,KR,AUXIL,FINAN,3110.26,116601401.288,12.0,12.0,116601401.288,644045.818,115957355.471,37489.277838
19167,2019,KR,KR,TRANS,TRANS,4297.19,115428647.367,12.0,12.0,115428647.367,547952.611,114880694.756,26861.42511
20050,2019,KR,KR,WHOLE,MACHI,3246.89,114940529.325,12.0,12.0,114940529.325,552600.077,114387929.248,35400.191976
20023,2019,KR,KR,WHOLE,FOOD5,3737.05,114190111.913,12.0,12.0,114190111.913,683845.664,113506266.249,30556.217314
17017,2019,KR,KR,RUBBE,MOTO1,3597.6,111872323.22,12.0,12.0,111872323.22,641478.177,111230845.043,31096.376256
6488,2019,KR,KR,FINAN,INSUR,3001.2,110115002.904,12.0,12.0,110115002.904,585174.398,109529828.506,36690.324838
7196,2019,KR,KR,FOOD5,HEALT,2704.73,108616985.62,12.0,12.0,108616985.62,436033.804,108180951.816,40158.162042
