trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
28230,2019,AU,KR,BITUM,ELECT,28.44,6962661.134,1.0,1.0,6962661.134,6962661.134,6962661.134,244819.308509
42298,2019,AU,WA,BITUM,NATUR,28.4,6953393.296,1.0,1.0,6953393.296,6953393.296,6953393.296,244837.792113
21255,2019,AU,IN,BITUM,ELECT,28.24,6913778.403,1.0,1.0,6913778.403,6913778.403,6913778.403,244822.181409
42611,2019,AU,WA,CATTL,WHOLE,38.08,6852470.376,1.0,1.0,6852470.376,6852470.376,6852470.376,179949.327101
52958,2019,AU,WL,BITUM,CHARC,27.62,6762968.076,1.0,1.0,6762968.076,6762968.076,6762968.076,244857.642143
24537,2019,AU,JP,BITUM,TEXTI,26.71,6539154.803,1.0,1.0,6539154.803,6539154.803,6539154.803,244820.471846
22661,2019,AU,IT,BITUM,ELEC1,26.69,6534362.714,1.0,1.0,6534362.714,6534362.714,6534362.714,244824.380442
24531,2019,AU,JP,BITUM,RUBBE,26.13,6398284.725,1.0,1.0,6398284.725,6398284.725,6398284.725,244863.556257
43042,2019,AU,WA,COKIN,NFERT,33.74,6379208.983,1.0,1.0,6379208.983,6379208.983,6379208.983,189069.620124
24445,2019,AU,JP,BITUM,93197,25.8,6316651.515,1.0,1.0,6316651.515,6316651.515,6316651.515,244831.45407
42278,2019,AU,WA,BITUM,LANDT,25.6,6269528.815,1.0,1.0,6269528.815,6269528.815,6269528.815,244903.469336
36253,2019,AU,SE,BITUM,CEMEN,25.54,6253880.818,1.0,1.0,6253880.818,6253880.818,6253880.818,244866.124432
58664,2019,AU,ZA,BITUM,REALE,25.36,6210088.773,1.0,1.0,6210088.773,6210088.773,6210088.773,244877.317547
21245,2019,AU,IN,BITUM,COKE1,25.02,6126510.815,1.0,1.0,6126510.815,6126510.815,6126510.815,244864.540967
42334,2019,AU,WA,BITUM,RENTI,25.02,6125561.503,1.0,1.0,6125561.503,6125561.503,6125561.503,244826.598841
119,2019,AU,AT,BITUM,PAPER,24.49,5997394.539,1.0,1.0,5997394.539,5997394.539,5997394.539,244891.569579
42338,2019,AU,WA,BITUM,RUBBE,24.49,5996689.517,1.0,1.0,5996689.517,5996689.517,5996689.517,244862.781421
35561,2019,AU,RU,CATTL,CATTL,33.32,5995581.123,1.0,1.0,5995581.123,5995581.123,5995581.123,179939.409454
4694,2019,AU,CN,BITUM,ALUM1,24.47,5992863.794,1.0,1.0,5992863.794,5992863.794,5992863.794,244906.571067
47723,2019,AU,WA,PRECI,RETA1,34.09,5836388.167,1.0,1.0,5836388.167,5836388.167,5836388.167,171205.28504
4770,2019,AU,CN,BITUM,PROCE,23.74,5812554.07,1.0,1.0,5812554.07,5812554.07,5812554.07,244842.210194
24505,2019,AU,JP,BITUM,MEDIC,23.62,5783838.551,1.0,1.0,5783838.551,5783838.551,5783838.551,244870.387426
37169,2019,AU,SI,BITUM,ELEC1,22.96,5621483.865,1.0,1.0,5621483.865,5621483.865,5621483.865,244838.14743
12097,2019,AU,ES,BITUM,BASIC,22.83,5590293.343,1.0,1.0,5590293.343,5590293.343,5590293.343,244866.112265
21238,2019,AU,IN,BITUM,BLAST,22.78,5578906.294,1.0,1.0,5578906.294,5578906.294,5578906.294,244903.700351
36249,2019,AU,SE,BITUM,BASIC,22.36,5475542.094,1.0,1.0,5475542.094,5475542.094,5475542.094,244881.131216
30990,2019,AU,MX,BITUM,COLLE,22.21,5437372.502,1.0,1.0,5437372.502,5437372.502,5437372.502,244816.411616
24692,2019,AU,JP,CATTL,FORES,29.69,5342436.495,1.0,1.0,5342436.495,5342436.495,5342436.495,179940.602728
37172,2019,AU,SI,BITUM,FABRI,21.46,5254022.746,1.0,1.0,5254022.746,5254022.746,5254022.746,244828.646132
2616,2019,AU,BR,BITUM,FABRI,21.28,5211570.638,1.0,1.0,5211570.638,5211570.638,5211570.638,244904.635244
42350,2019,AU,WA,BITUM,TEXTI,21.28,5211012.094,1.0,1.0,5211012.094,5211012.094,5211012.094,244878.387876
21240,2019,AU,IN,BITUM,BUSIN,20.63,5051569.51,1.0,1.0,5051569.51,5051569.51,5051569.51,244865.221037
24470,2019,AU,JP,BITUM,EDUCA,20.61,5047512.296,1.0,1.0,5047512.296,5047512.296,5047512.296,244905.982339
42321,2019,AU,WA,BITUM,PREC1,20.61,5046515.016,1.0,1.0,5046515.016,5046515.016,5046515.016,244857.594178
21264,2019,AU,IN,BITUM,GLASS,20.44,5004680.174,1.0,1.0,5004680.174,5004680.174,5004680.174,244847.366634
24687,2019,AU,JP,CATTL,CATTL,26.26,4725523.56,1.0,1.0,4725523.56,4725523.56,4725523.56,179951.392232
58623,2019,AU,ZA,BITUM,BUSIN,19.3,4724616.176,1.0,1.0,4724616.176,4724616.176,4724616.176,244798.765596
