trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
15981,2022,WM,WM,SANDC,FISHF,7.01,13186026.798,1.0,1.0,13186026.798,13186026.798,13186026.798,1881030.926961
16021,2022,WM,WM,SANDC,NONF1,6.88,12937861.408,1.0,1.0,12937861.408,12937861.408,12937861.408,1880503.111628
16061,2022,WM,WM,SANDC,SEACO,6.76,12703529.095,1.0,1.0,12703529.095,12703529.095,12703529.095,1879220.280325
16071,2022,WM,WM,SANDC,TOBAC,6.62,12440610.954,1.0,1.0,12440610.954,12440610.954,12440610.954,1879246.367674
10439,2022,WM,WM,NATUR,FOUND,22.8,12259892.025,1.0,1.0,12259892.025,12259892.025,12259892.025,537714.5625
16018,2022,WM,WM,SANDC,NATU1,6.4,12027980.703,1.0,1.0,12027980.703,12027980.703,12027980.703,1879371.984844
16005,2022,WM,WM,SANDC,LEATH,6.35,11938852.933,1.0,1.0,11938852.933,11938852.933,11938852.933,1880134.320157
10492,2022,WM,WM,NATUR,PLAS2,22.18,11929419.909,1.0,1.0,11929419.909,11929419.909,11929419.909,537845.802931
15970,2022,WM,WM,SANDC,ELEC2,6.34,11925462.584,1.0,1.0,11925462.584,11925462.584,11925462.584,1880987.789274
15967,2022,WM,WM,SANDC,DISTR,6.29,11818827.085,1.0,1.0,11818827.085,11818827.085,11818827.085,1878986.817965
15958,2022,WM,WM,SANDC,COLLE,6.19,11632059.346,1.0,1.0,11632059.346,11632059.346,11632059.346,1879169.522779
16084,2022,WM,WM,SANDC,WOODW,6.1,11469485.006,1.0,1.0,11469485.006,11469485.006,11469485.006,1880243.443607
16639,2022,WM,WM,STONE,PROCE,32.39,11324494.659,1.0,1.0,11324494.659,11324494.659,11324494.659,349629.350386
15995,2022,WM,WM,SANDC,HOTEL,5.95,11180141.546,1.0,1.0,11180141.546,11180141.546,11180141.546,1879015.385882
16044,2022,WM,WM,SANDC,PRINT,5.92,11138903.819,1.0,1.0,11138903.819,11138903.819,11138903.819,1881571.591047
10403,2022,WM,WM,NATUR,CATTL,20.46,11004404.74,1.0,1.0,11004404.74,11004404.74,11004404.74,537849.694037
15948,2022,WM,WM,SANDC,BUSIN,5.81,10932408.244,1.0,1.0,10932408.244,10932408.244,10932408.244,1881653.742513
