trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
211,2019,WM,WM,AIRTR,LANDT,445.36,41052294493.265,1.0,1.0,41052294493.265,0.0,0.0,0.0,0.0,0.0,41052294493.265,0.0,0.0,0.0,0.0,92177776.390482
171,2019,WM,WM,AIRTR,EDUCA,441.61,40706779583.657,1.0,1.0,40706779583.657,0.0,0.0,0.0,0.0,0.0,40706779583.657,0.0,0.0,0.0,0.0,92178120.023679
191,2019,WM,WM,AIRTR,FOOD5,428.9,39535596324.054,1.0,1.0,39535596324.054,0.0,0.0,0.0,0.0,0.0,39535596324.054,0.0,0.0,0.0,0.0,92179054.147946
5054,2019,WM,WM,ELEC6,POSTT,137.2,39271503206.64,4.0,2.0,39271501608.941,0.0,1597.699,0.0,0.0,0.0,39271501608.941,0.0,0.0,1597.699,0.0,286235446.112536
265,2019,WM,WM,AIRTR,RECRE,425.3,39203823253.902,1.0,1.0,39203823253.902,0.0,0.0,0.0,0.0,0.0,39203823253.902,0.0,0.0,0.0,0.0,92179222.322836
4514,2019,WM,WM,ELEC2,SEACO,88.75,39103034060.152,5.0,3.0,39103031823.843,0.0,2229.531,0.0,0.0,6.778,39103031823.843,6.778,0.0,2229.531,0.0,440597566.874952
219,2019,WM,WM,AIRTR,MEAT4,422.65,38959076275.044,1.0,1.0,38959076275.044,0.0,0.0,0.0,0.0,0.0,38959076275.044,0.0,0.0,0.0,0.0,92178105.465619
11342,2019,WM,WM,NATUR,PLAST,533.1,38324257003.732,2.0,2.0,38036478320.45,0.0,0.0,0.0,287778683.283,0.0,38036478320.45,0.0,0.0,0.0,0.0,71889433.509158
10741,2019,WM,WM,MEDIC,OFFIC,206.76,35378694172.934,3.0,2.0,35378692923.041,0.0,1249.893,0.0,0.0,0.0,35378692923.041,0.0,0.0,1249.893,0.0,171109954.405755
4434,2019,WM,WM,ELEC2,FURNI,77.64,34209110456.247,5.0,3.0,34209108499.822,0.0,1950.495,0.0,0.0,5.93,34209108499.822,5.93,0.0,1950.495,0.0,440611932.718277
4474,2019,WM,WM,ELEC2,OFFIC,77.46,34128600082.733,5.0,3.0,34128598130.912,0.0,1945.905,0.0,0.0,5.916,34128598130.912,5.916,0.0,1945.905,0.0,440596437.938717
5091,2019,WM,WM,ELEC6,VEGET,119.23,34127334803.699,4.0,2.0,34127333415.283,0.0,1388.416,0.0,0.0,0.0,34127333415.283,0.0,0.0,1388.416,0.0,286231106.296226
11239,2019,WM,WM,NATUR,BASIC,470.27,33807738499.545,2.0,2.0,33553874570.253,0.0,0.0,0.0,253863929.292,0.0,33553874570.253,0.0,0.0,0.0,0.0,71890059.964584
4478,2019,WM,WM,ELEC2,PADDY,75.95,33466382213.373,5.0,3.0,33466380299.425,0.0,1908.147,0.0,0.0,5.801,33466380299.425,5.801,0.0,1908.147,0.0,440637027.167518
5012,2019,WM,WM,ELEC6,LANDT,116.5,33346807127.959,4.0,2.0,33346805771.297,0.0,1356.662,0.0,0.0,0.0,33346805771.297,0.0,0.0,1356.662,0.0,286238687.79364
5011,2019,WM,WM,ELEC6,KEROS,114.06,32647789626.305,4.0,2.0,32647788298.082,0.0,1328.223,0.0,0.0,0.0,32647788298.082,0.0,0.0,1328.223,0.0,286233470.334079
10755,2019,WM,WM,MEDIC,POSTT,189.81,32478977552.541,3.0,2.0,32478976405.092,0.0,1147.449,0.0,0.0,0.0,32478976405.092,0.0,0.0,1147.449,0.0,171113100.218856
4499,2019,WM,WM,ELEC2,PULP5,72.22,31822279047.587,5.0,3.0,31822277227.665,0.0,1814.406,0.0,0.0,5.516,31822277227.665,5.516,0.0,1814.406,0.0,440629729.265951
10796,2019,WM,WM,MEDIC,WHOLE,182.82,31282725011.397,3.0,2.0,31282723906.21,0.0,1105.187,0.0,0.0,0.0,31282723906.21,0.0,0.0,1105.187,0.0,171112159.563489
151,2019,WM,WM,AIRTR,CATTL,337.67,31125828589.136,1.0,1.0,31125828589.136,0.0,0.0,0.0,0.0,0.0,31125828589.136,0.0,0.0,0.0,0.0,92178246.776841
156,2019,WM,WM,AIRTR,CHEM1,331.51,30557566928.144,1.0,1.0,30557566928.144,0.0,0.0,0.0,0.0,0.0,30557566928.144,0.0,0.0,0.0,0.0,92176908.473784
5096,2019,WM,WM,ELEC6,WHOLE,106.39,30451945915.578,4.0,2.0,30451944676.689,0.0,1238.889,0.0,0.0,0.0,30451944676.689,0.0,0.0,1238.889,0.0,286229400.466002
4392,2019,WM,WM,ELEC2,CERAM,67.27,29642254522.499,5.0,3.0,29642252827.253,0.0,1690.107,0.0,0.0,5.138,29642252827.253,5.138,0.0,1690.107,0.0,440645971.792761
136,2019,WM,WM,AIRTR,93197,318.17,29328089049.998,1.0,1.0,29328089049.998,0.0,0.0,0.0,0.0,0.0,29328089049.998,0.0,0.0,0.0,0.0,92177417.889801
